id,ts_in,ts_out,side,entry,sl,tp,exit_price,exit_reason,lots,pnl_usd,r_realized,bars_held,session,year
1333,2020-07-23 11:15:00,2020-07-23 11:30:00,1,1881.3391610334297,1878.42381278712,1887.1698575260493,1886.8392758299142,tp,0.01,5.430114796484467,1.8866064469129595,1,london,2020
1334,2020-07-23 14:15:00,2020-07-23 14:30:00,-1,1875.7104835882226,1878.908889498056,1869.3136717685557,1879.1659009412604,sl,0.01,-3.525417353037774,-1.0803561056507085,1,ny,2020
1335,2020-07-23 16:45:00,2020-07-23 18:15:00,1,1881.4274820731239,1876.5398647549578,1891.202716709456,1890.9059893726667,tp,0.01,9.408507299542798,1.9392899817081466,6,ny,2020
1336,2020-07-24 09:30:00,2020-07-24 10:00:00,1,1886.9614281850475,1884.2615967239835,1892.361091107175,1892.0663635384842,tp,0.01,5.034935353436758,1.8908348269358475,2,london,2020
1337,2020-07-24 14:15:00,2020-07-24 16:00:00,1,1892.4298644820856,1889.1944976733946,1898.9005980994673,1898.6034100282243,tp,0.01,6.103545546138712,1.9081439327235143,7,ny,2020
1338,2020-07-24 18:15:00,2020-07-24 22:15:00,-1,1900.3918000871242,1903.9152634287761,1893.3448734038204,1900.5000983211032,timeout,0.01,-0.1782982339789851,-0.030736302177110673,16,ny,2020
1339,2020-07-27 02:15:00,2020-07-27 03:00:00,1,1911.597214445102,1908.7824235269711,1917.226796281364,1916.895012750368,tp,0.01,5.227798305266042,1.8821285343580174,3,asia,2020
1340,2020-07-27 05:15:00,2020-07-27 05:45:00,1,1921.534564799124,1918.456534187078,1927.690626023216,1927.406488173798,tp,0.01,5.801923374673997,1.9076884263899385,2,asia,2020
1341,2020-07-27 15:30:00,2020-07-27 16:00:00,-1,1932.5999422882485,1936.708284947531,1924.3832569696833,1937.0436500144315,sl,0.01,-4.513707726182993,-1.081630256946263,2,ny,2020
1342,2020-07-27 18:15:00,2020-07-27 22:15:00,-1,1937.9646507794625,1942.418345791563,1929.0572607552617,1936.628268246173,timeout,0.01,1.266382533289452,0.3000615286090651,16,ny,2020
1343,2020-07-28 04:00:00,2020-07-28 04:15:00,1,1976.36853119936,1970.493444118668,1988.1187053607437,1970.1695268864753,sl,0.01,-6.269004312884654,-1.0551340308226806,1,asia,2020
1344,2020-07-28 06:15:00,2020-07-28 06:30:00,-1,1939.996121467064,1949.7332397598814,1920.5218848814297,1950.0503801122989,sl,0.01,-10.124258645234768,-1.0325702474675105,1,asia,2020
1345,2020-07-28 08:30:00,2020-07-28 10:30:00,-1,1937.5444875343942,1944.345688900794,1923.9420848015948,1924.2431991779379,tp,0.01,13.231288356456325,1.955726295970194,8,london,2020
1346,2020-07-28 15:15:00,2020-07-28 17:15:00,1,1933.2548646467917,1926.527006274038,1946.7105813922988,1946.422450638453,tp,0.01,13.097585991661326,1.9571734810868153,8,ny,2020
1347,2020-07-29 18:30:00,2020-07-29 21:00:00,1,1960.6075738485963,1955.866980724792,1970.0887600962049,1955.5182862666716,sl,0.01,-5.159287581924737,-1.0735550276123758,10,ny,2020
1348,2020-07-30 10:15:00,2020-07-30 10:30:00,-1,1949.9725149151193,1954.21089113294,1941.495762479478,1954.4774777359125,sl,0.01,-4.574962820793253,-1.0628982868136008,1,london,2020
1349,2020-07-30 17:30:00,2020-07-30 18:30:00,-1,1942.3180341780464,1948.5079523759553,1929.9381977822288,1948.7611673154654,sl,0.01,-6.513133137418953,-1.0409076390695582,4,ny,2020
1350,2020-07-31 06:00:00,2020-07-31 07:00:00,1,1969.88933018837,1966.7139716275997,1976.2400473099103,1966.3768982902677,sl,0.01,-3.58243189810225,-1.106152842547076,4,asia,2020
1351,2020-07-31 09:00:00,2020-07-31 09:15:00,1,1975.9988752212762,1972.5219216011558,1982.952782461517,1972.218647558422,sl,0.01,-3.850227662854259,-1.0872240690755444,1,london,2020
1352,2020-07-31 11:15:00,2020-07-31 15:00:00,-1,1973.7712135974916,1978.1560192160234,1965.001602360428,1978.4872489106706,sl,0.01,-4.786035313178964,-1.0755403371240142,15,london,2020
1353,2020-07-31 17:00:00,2020-07-31 17:15:00,1,1970.200955840395,1965.3258018656454,1979.951263789894,1965.0289613336838,sl,0.01,-5.241994506711144,-1.06088844239568,1,ny,2020
1354,2020-07-31 19:15:00,2020-07-31 19:30:00,-1,1968.030751566279,1972.838560353957,1958.4151339909229,1973.111555155739,sl,0.01,-5.150803589460175,-1.0567815430766896,1,ny,2020
1355,2020-08-03 03:45:00,2020-08-03 07:45:00,-1,1975.8729608490842,1979.621034031922,1968.3768144834085,1973.8942803764335,timeout,0.01,1.9086804726506943,0.527919380472874,16,asia,2020
1356,2020-08-03 16:15:00,2020-08-03 16:30:00,-1,1968.9328005657296,1971.935460990493,1962.9274797162025,1963.2022053735332,tp,0.01,5.66059519219646,1.9085059185964708,1,ny,2020
1357,2020-08-03 18:30:00,2020-08-03 20:30:00,-1,1969.1750329621066,1972.8248524932796,1961.8753938997604,1973.088802378076,sl,0.01,-3.983769415969455,-1.0723186126168653,8,ny,2020
1358,2020-08-04 10:45:00,2020-08-04 11:00:00,1,1977.9960563555276,1975.805025373039,1982.378118320505,1975.5323856189978,sl,0.01,-2.5336707365298206,-1.1244344585814532,1,london,2020
1359,2020-08-04 14:15:00,2020-08-04 15:00:00,-1,1971.0596821473273,1973.7295222085313,1965.7200020249195,1974.0786094563316,sl,0.01,-3.0889273090043115,-1.1307521199014712,3,ny,2020
1360,2020-08-04 17:00:00,2020-08-04 17:30:00,1,1980.0112140900924,1976.2922466750458,1987.4491489201853,1987.1435003111342,tp,0.01,7.062286221041795,1.9178135823899105,2,ny,2020
