signal_id,direction,n_bars,pnl_log,r_multiple,pnl_r,entry_bar,exit_bar
trade_6754,SHORT,7,0.0004556825552436036,0.2655593005776922,0.2655593005776922,2023-05-24 17:15:00,2023-05-24 18:45:00
trade_6756,SHORT,2,0.00046037840196875147,1.120117802552297,1.120117802552297,2023-05-24 19:30:00,2023-05-24 19:45:00
trade_6758,LONG,96,-0.0027706717856492125,-0.6972847197267901,-0.6972847197267901,2023-05-25 00:15:00,2023-05-26 00:00:00
trade_6760,SHORT,1,-0.0002797489737468865,-279.74897374688646,-279.74897374688646,2023-05-26 00:45:00,2023-05-26 00:45:00
trade_6762,SHORT,1,-0.00018633685098064318,-186.3368509806432,-186.3368509806432,2023-05-26 02:00:00,2023-05-26 02:00:00
trade_6764,SHORT,1,7.451842471460114e-05,74.51842471460114,74.51842471460114,2023-05-26 02:30:00,2023-05-26 02:30:00
trade_6766,SHORT,2,-4.1914954563672375e-05,-0.1463126148050218,-0.1463126148050218,2023-05-26 03:15:00,2023-05-26 03:30:00
trade_6768,SHORT,1,5.121627002324058e-05,51.21627002324058,51.21627002324058,2023-05-26 04:15:00,2023-05-26 04:15:00
trade_6770,SHORT,1,3.7243774474871396e-05,37.2437744748714,37.2437744748714,2023-05-26 04:45:00,2023-05-26 04:45:00
trade_6772,SHORT,1,0.000232863570944061,232.86357094406102,232.86357094406102,2023-05-26 06:00:00,2023-05-26 06:00:00
trade_6774,LONG,1,0.00030739995770761637,307.39995770761635,307.39995770761635,2023-05-26 06:30:00,2023-05-26 06:30:00
trade_6776,SHORT,2,0.0002469130063488321,0.4384024059014568,0.4384024059014568,2023-05-26 07:15:00,2023-05-26 07:30:00
trade_6778,LONG,1,0.0008991905561891023,899.1905561891023,899.1905561891023,2023-05-26 09:15:00,2023-05-26 09:15:00
trade_6779,SHORT,1,0.00026082177637062887,260.82177637062887,260.82177637062887,2023-05-26 09:30:00,2023-05-26 09:30:00
trade_6781,SHORT,1,0.0007361780578679956,736.1780578679957,736.1780578679957,2023-05-26 10:00:00,2023-05-26 10:00:00
trade_6783,SHORT,1,-0.0008195691201809222,-819.5691201809223,-819.5691201809223,2023-05-26 10:30:00,2023-05-26 10:30:00
trade_6785,SHORT,3,0.0026866189036184166,2.8881308196949536,2.8881308196949536,2023-05-26 14:15:00,2023-05-26 14:45:00
trade_6786,LONG,2,-0.00021019639427099552,-4.8945386385991565,-4.8945386385991565,2023-05-26 15:00:00,2023-05-26 15:15:00
trade_6787,SHORT,2,-0.0008405206118855724,-2.2334126450529705,-2.2334126450529705,2023-05-26 15:30:00,2023-05-26 15:45:00
trade_6789,LONG,3,0.0006529181006311338,1.0606595076466343,1.0606595076466343,2023-05-26 16:30:00,2023-05-26 17:00:00
trade_6791,LONG,1,0.0003636770587837145,363.67705878371453,363.67705878371453,2023-05-26 17:30:00,2023-05-26 17:30:00
trade_6793,LONG,1,0.0002749755918229856,274.9755918229856,274.9755918229856,2023-05-26 18:00:00,2023-05-26 18:00:00
trade_6795,SHORT,75,0.0013197320481488379,0.622011368677393,0.622011368677393,2023-05-26 18:30:00,2023-05-29 13:00:00
trade_6797,SHORT,2,3.735367864134297e-05,0.1529010044705148,0.1529010044705148,2023-05-29 15:00:00,2023-05-29 15:15:00
trade_6799,SHORT,1,-0.00012601188728820242,-126.01188728820243,-126.01188728820243,2023-05-29 15:45:00,2023-05-29 15:45:00
trade_6801,SHORT,1,4.2005138634899494e-05,42.005138634899495,42.005138634899495,2023-05-29 16:45:00,2023-05-29 16:45:00
trade_6803,SHORT,1,0.00011668638679789192,116.68638679789193,116.68638679789193,2023-05-29 17:45:00,2023-05-29 17:45:00
trade_6805,SHORT,1,0.00013538780456697334,135.38780456697336,135.38780456697336,2023-05-29 19:45:00,2023-05-29 19:45:00
trade_6807,SHORT,1,6.536710636152323e-05,65.36710636152323,65.36710636152323,2023-05-29 20:45:00,2023-05-29 20:45:00
trade_6809,SHORT,1,-5.601822461027982e-05,-56.01822461027982,-56.01822461027982,2023-05-29 21:15:00,2023-05-29 21:15:00
trade_6811,SHORT,1,9.337198933854538e-06,9.33719893385454,9.33719893385454,2023-05-29 22:45:00,2023-05-29 22:45:00
trade_6813,SHORT,1,0.0005038911701712732,503.89117017127325,503.89117017127325,2023-05-30 00:45:00,2023-05-30 00:45:00
trade_6815,SHORT,2,-0.00033114976900568756,-5.904496905694921,-5.904496905694921,2023-05-30 01:15:00,2023-05-30 01:30:00
trade_6817,SHORT,1,0.0006531160866062884,653.1160866062884,653.1160866062884,2023-05-30 03:00:00,2023-05-30 03:00:00
trade_6819,SHORT,131,0.001103051263501745,0.2243076020833846,0.2243076020833846,2023-05-30 05:15:00,2023-05-31 13:45:00
trade_6821,SHORT,8,0.0018632773248542847,0.7482056204883708,0.7482056204883708,2023-05-31 14:15:00,2023-05-31 16:00:00
trade_6823,SHORT,6,-0.0032945866281975764,-2.097632722657199,-2.097632722657199,2023-05-31 16:45:00,2023-05-31 18:00:00
trade_6825,SHORT,1,-0.00017301968492780867,-173.01968492780867,-173.01968492780867,2023-06-01 02:00:00,2023-06-01 02:00:00
trade_6827,SHORT,1,-0.0001964517085924186,-196.4517085924186,-196.4517085924186,2023-06-01 02:30:00,2023-06-01 02:30:00
