report_date,vintage_date,mm_long,mm_short,mm_net,open_interest,mm_net_pct,mm_net_pct_z52,producer_long,producer_short,producer_net
2022-01-18T00:00:00+0000,2022-01-21T20:30:00+0000,119807,48014,71793,539204,0.13314626746092387,-0.34312750430657657,19188,70150,-50962
2022-01-25T00:00:00+0000,2022-01-28T20:30:00+0000,140640,39265,101375,572078,0.17720485668038274,0.7349969625743978,13494,79264,-65770
2022-02-01T00:00:00+0000,2022-02-04T20:30:00+0000,108309,58395,49914,515331,0.09685813583890741,-1.182083139900384,13294,65627,-52333
2022-02-08T00:00:00+0000,2022-02-11T20:30:00+0000,117234,47767,69467,512842,0.13545497443657112,-0.2324347848281136,12653,66144,-53491
2022-02-15T00:00:00+0000,2022-02-18T20:30:00+0000,151530,43824,107706,558645,0.19279864672555916,1.1187608217268772,13840,77522,-63682
2022-02-22T00:00:00+0000,2022-02-25T20:30:00+0000,183356,44380,138976,611488,0.22727510597100842,1.8424384969196606,14747,85658,-70911
2022-03-01T00:00:00+0000,2022-03-04T20:30:00+0000,187215,38594,148621,615600,0.24142462638076673,2.0447141795482313,18689,94503,-75814
2022-03-08T00:00:00+0000,2022-03-11T20:30:00+0000,181510,38537,142973,638502,0.2239194239015696,1.6040684966193572,23736,99813,-76077
2022-03-15T00:00:00+0000,2022-03-18T19:30:00+0000,165597,39060,126537,617605,0.20488338015398191,1.1300788541497824,26287,93725,-67438
2022-03-22T00:00:00+0000,2022-03-25T19:30:00+0000,152589,37457,115132,605191,0.19024076696447897,0.7610534695875389,28886,93799,-64913
2022-03-29T00:00:00+0000,2022-04-01T19:30:00+0000,146486,38184,108302,574521,0.1885083399910534,0.6899775730488824,18389,70315,-51926
2022-04-05T00:00:00+0000,2022-04-08T19:30:00+0000,148320,46693,101627,560666,0.18126121434151526,0.49863950360246667,18989,71333,-52344
2022-04-12T00:00:00+0000,2022-04-15T19:30:00+0000,165244,48219,117025,577639,0.20259193025401678,0.9706495672062824,20272,72001,-51729
2022-04-19T00:00:00+0000,2022-04-22T19:30:00+0000,157560,56294,101266,575202,0.17605293444737674,0.3120212890325548,22596,72545,-49949
2022-04-26T00:00:00+0000,2022-04-29T19:30:00+0000,138215,57098,81117,557785,0.14542700144320841,-0.4534101313812175,22665,66838,-44173
2022-05-03T00:00:00+0000,2022-05-06T19:30:00+0000,128828,60981,67847,560441,0.12106002237523665,-1.0594261233289703,23431,63612,-40181
2022-05-10T00:00:00+0000,2022-05-13T19:30:00+0000,123931,61939,61992,571447,0.10848250143932858,-1.3202890440172697,22242,65143,-42901
2022-05-17T00:00:00+0000,2022-05-20T19:30:00+0000,115572,72212,43360,555756,0.07801985043796199,-1.939106999814564,24468,62025,-37557
2022-05-24T00:00:00+0000,2022-05-27T19:30:00+0000,121174,60117,61057,530098,0.11518058924953499,-1.031277430516093,21184,63194,-42010
2022-05-31T00:00:00+0000,2022-06-03T19:30:00+0000,112731,61938,50793,513722,0.09887254195849117,-1.363313208724621,19970,65269,-45299
2022-06-07T00:00:00+0000,2022-06-10T19:30:00+0000,115215,57684,57531,494130,0.1164288749924109,-0.9157211635882196,16570,61112,-44542
2022-06-14T00:00:00+0000,2022-06-17T19:30:00+0000,109111,72206,36905,497456,0.07418746582612332,-1.8248824392492722,14920,55975,-41055
2022-06-21T00:00:00+0000,2022-06-24T19:30:00+0000,113220,63417,49803,500276,0.09955104782160247,-1.1999304702889013,13019,57208,-44189
2022-06-28T00:00:00+0000,2022-07-01T19:30:00+0000,110850,74748,36102,497005,0.07263910825846823,-1.7403095491063738,13971,57758,-43787
2022-07-05T00:00:00+0000,2022-07-08T19:30:00+0000,103472,86438,17034,498210,0.03419040163786355,-2.3986496440364475,15404,53894,-38490
2022-07-12T00:00:00+0000,2022-07-15T19:30:00+0000,91669,97802,-6133,542493,-0.011305214998165876,-2.9904981596463838,18149,46218,-28069
2022-07-19T00:00:00+0000,2022-07-22T19:30:00+0000,91056,109794,-18738,524786,-0.0357059830102175,-3.0682441127297078,21601,46644,-25043
2022-07-26T00:00:00+0000,2022-07-29T19:30:00+0000,92216,111309,-19093,487515,-0.039163923161338626,-2.8203022421737822,16057,41222,-25165
2022-08-02T00:00:00+0000,2022-08-05T19:30:00+0000,96634,80779,15855,459649,0.034493711505953456,-1.558178431989886,13831,44218,-30387
2022-08-09T00:00:00+0000,2022-08-12T19:30:00+0000,100013,59279,40734,453540,0.08981346738986638,-0.690282659217011,12940,49401,-36461
2022-08-16T00:00:00+0000,2022-08-19T19:30:00+0000,96765,60392,36373,453960,0.08012379945369637,-0.8261879528302067,14278,48802,-34524
2022-08-23T00:00:00+0000,2022-08-26T19:30:00+0000,95850,73739,22111,457762,0.04830239294655301,-1.277669994987762,14957,47144,-32187
2022-08-30T00:00:00+0000,2022-09-02T19:30:00+0000,91761,79973,11788,459165,0.025672688467108774,-1.5542041014145662,14612,45959,-31347
2022-09-06T00:00:00+0000,2022-09-09T19:30:00+0000,85842,92804,-6962,465908,-0.01494286425646265,-2.039692145205057,15564,41624,-26060
2022-09-13T00:00:00+0000,2022-09-16T19:30:00+0000,80300,98637,-18337,463674,-0.039547181856217944,-2.231242434422339,12589,39708,-27119
2022-09-20T00:00:00+0000,2022-09-23T19:30:00+0000,78544,115239,-36695,469395,-0.07817509773218717,-2.5447674171363475,16194,33858,-17664
2022-09-27T00:00:00+0000,2022-09-30T19:30:00+0000,74171,117265,-43094,457061,-0.09428500790922875,-2.5484892428115744,15381,28004,-12623
2022-10-04T00:00:00+0000,2022-10-07T19:30:00+0000,82806,89681,-6875,437065,-0.015729925754750438,-1.5270619857024768,12114,31266,-19152
2022-10-11T00:00:00+0000,2022-10-14T19:30:00+0000,78365,83945,-5580,431395,-0.012934781348879798,-1.4336311762959895,11578,34246,-22668
2022-10-18T00:00:00+0000,2022-10-21T19:30:00+0000,73344,99042,-25698,434701,-0.05911649616633042,-1.8645528839675987,14351,29916,-15565
2022-10-25T00:00:00+0000,2022-10-28T19:30:00+0000,72016,110804,-38788,456072,-0.08504797488115912,-2.0246266553229963,18036,28462,-10426
2022-11-01T00:00:00+0000,2022-11-04T19:30:00+0000,78213,119614,-41401,467276,-0.08860074131776509,-1.943582465220792,17255,26028,-8773
2022-11-08T00:00:00+0000,2022-11-11T20:30:00+0000,88059,104405,-16346,488471,-0.03346360377586387,-1.3141655548444449,16738,35324,-18586
2022-11-15T00:00:00+0000,2022-11-18T20:30:00+0000,95065,69608,25457,495171,0.05141052282948719,-0.3973115682667925,14602,51584,-36982
2022-11-22T00:00:00+0000,2022-11-25T20:30:00+0000,92161,72730,19431,449542,0.04322399241895084,-0.4591391090771832,14133,54527,-40394
2022-11-29T00:00:00+0000,2022-12-02T20:30:00+0000,88032,73312,14720,433661,0.03394356421259924,-0.533469440407119,12158,48784,-36626
2022-12-06T00:00:00+0000,2022-12-09T20:30:00+0000,93629,70142,23487,422100,0.05564321250888415,-0.2778950986261811,11712,49665,-37953
2022-12-13T00:00:00+0000,2022-12-16T20:30:00+0000,103737,66288,37449,437040,0.08568780889621087,0.05846968564009152,13758,50601,-36843
2022-12-20T00:00:00+0000,2022-12-23T20:30:00+0000,104813,65718,39095,436653,0.08953333653954056,0.11232818303172971,13860,51557,-37697
2022-12-27T00:00:00+0000,2022-12-30T20:30:00+0000,106983,56106,50877,440040,0.11561903463321516,0.4120522526594359,13950,56342,-42392
2023-01-03T00:00:00+0000,2023-01-06T20:30:00+0000,109140,54559,54581,449393,0.12145494033062375,0.4870230678485376,13217,57119,-43902
2023-01-10T00:00:00+0000,2023-01-13T20:30:00+0000,116604,54795,61809,481519,0.12836253605776718,0.5660328799418497,12243,60946,-48703
2023-01-17T00:00:00+0000,2023-01-20T20:30:00+0000,124222,54845,69377,491818,0.14106234420049693,0.7049287238109109,14854,58789,-43935
2023-01-24T00:00:00+0000,2023-01-27T20:30:00+0000,131501,51622,79879,499927,0.15978132807389878,0.9202877788475264,12705,54314,-41609
2023-01-31T00:00:00+0000,2023-02-03T20:30:00+0000,138125,53678,84447,471642,0.17904893966186217,1.104773917799292,14955,51775,-36820
2023-02-07T00:00:00+0000,2023-02-10T20:30:00+0000,115521,55945,59576,439755,0.135475435185501,0.6240203514195896,15251,46233,-30982
2023-02-14T00:00:00+0000,2023-02-17T20:30:00+0000,106106,64933,41173,426116,0.09662392400191497,0.21909363818962324,12225,42118,-29893
2023-02-21T00:00:00+0000,2023-02-24T20:30:00+0000,104710,68004,36706,422648,0.08684768412485094,0.14384955551956888,10696,40479,-29783
2023-02-28T00:00:00+0000,2023-03-03T20:30:00+0000,99425,72850,26575,426890,0.06225257091990911,-0.10372375502532256,12772,41995,-29223
2023-03-07T00:00:00+0000,2023-03-10T20:30:00+0000,103439,89040,14399,458474,0.03140636110226534,-0.44251349665834333,11617,41216,-29599
2023-03-14T00:00:00+0000,2023-03-17T19:30:00+0000,118560,58839,59721,459064,0.13009297178606904,0.8129281568871203,11602,47669,-36067
2023-03-21T00:00:00+0000,2023-03-24T19:30:00+0000,125090,43861,81229,469874,0.17287400452036078,1.366388782437034,14502,55788,-41286
2023-03-28T00:00:00+0000,2023-03-31T19:30:00+0000,130530,31370,99160,478611,0.20718286875980702,1.784542757374116,15709,60038,-44329
