signal_id,direction,entry_bar,exit_bar,entry_price,exit_price,stop_loss,take_profit,confluence_score,exit_reason,bars_held,pnl_price,r_multiple,initial_risk
2338048c-c41,LONG,2020-08-18 02:30:00,2020-08-18 06:15:00,1992.93,2005.52,1985.77,2007.26,41.33703966959527,time_expired,15,12.59,1.758,7.16
b921b666-057,LONG,2020-08-18 08:15:00,2020-08-18 12:00:00,2005.88,2007.92,1998.09,2021.47,55.430573602415286,time_expired,15,2.04,0.262,7.79
90b586e8-3fa,LONG,2020-08-18 13:00:00,2020-08-18 15:00:00,2008.95,2000.9,2000.9,2025.04,39.40054409476219,invalidated,8,-8.05,-1.0,8.05
4985648f-4bf,SHORT,2020-08-19 07:00:00,2020-08-19 08:45:00,1985.23,1993.87,1993.87,1967.95,42.142857142857146,invalidated,7,-8.64,-1.0,8.64
e8dbd232-775,LONG,2020-08-24 11:00:00,2020-08-24 12:15:00,1949.6,1953.69,1943.01,1962.78,36.43555204332652,score_decayed,5,4.09,0.621,6.59
f91c93f0-001,SHORT,2020-08-24 15:00:00,2020-08-24 15:15:00,1931.52,1928.72,1942.7,1909.16,37.783013290617724,regime_shifted,1,2.8,0.25,11.18
d2ee15ce-ab4,SHORT,2020-08-24 18:30:00,2020-08-24 23:15:00,1927.85,1928.29,1936.58,1910.39,40.88696535727646,time_expired,19,-0.44,-0.05,8.73
5ba9e9ac-e25,SHORT,2020-08-25 07:00:00,2020-08-25 09:00:00,1935.6,1925.37,1940.72,1925.37,40.63450086756307,target_reached,8,10.23,1.998,5.12
4b06fa23-cad,SHORT,2020-08-26 13:00:00,2020-08-26 13:30:00,1915.69,1924.26,1924.26,1898.55,40.547709617596006,invalidated,2,-8.57,-1.0,8.57
d1e10fc2-83b,LONG,2020-08-26 17:00:00,2020-08-26 17:15:00,1949.09,1944.21,1937.25,1972.76,41.80940303989869,regime_shifted,1,-4.88,-0.412,11.84
f3adb581-8b4,LONG,2020-08-26 18:15:00,2020-08-26 22:00:00,1948.79,1950.96,1938.75,1968.87,41.311935419098226,time_expired,15,2.17,0.216,10.04
9cbbdf8a-2b5,LONG,2020-08-27 00:00:00,2020-08-27 02:00:00,1952.36,1945.68,1945.68,1965.71,48.884049559849295,invalidated,8,-6.68,-1.0,6.68
0f33a113-3dc,SHORT,2020-08-27 14:00:00,2020-08-27 14:15:00,1923.35,1929.12,1935.21,1899.63,42.142857142857146,regime_shifted,1,-5.77,-0.487,11.86
bd7def3a-d16,SHORT,2020-08-27 15:15:00,2020-08-27 15:30:00,1917.9,1928.71,1931.66,1890.38,41.42857142857143,regime_shifted,1,-10.81,-0.786,13.76
d739c37d-f69,SHORT,2020-08-27 16:30:00,2020-08-27 16:45:00,1924.23,1920.56,1937.89,1896.91,40.87498416924164,regime_shifted,1,3.67,0.269,13.66
d0e3c3d7-d65,SHORT,2020-08-27 17:45:00,2020-08-27 18:00:00,1930.68,1929.55,1943.27,1905.51,38.81772654480684,regime_shifted,1,1.13,0.09,12.59
9aacefba-ccb,SHORT,2020-08-27 19:00:00,2020-08-28 00:45:00,1929.1,1929.29,1940.12,1907.05,41.810131282475496,score_decayed,23,-0.19,-0.017,11.02
1f376efd-5c7,LONG,2020-08-28 07:45:00,2020-08-28 10:30:00,1948.09,1956.04,1939.48,1965.3,41.25930741826506,time_expired,11,7.95,0.923,8.61
01223aa0-ec0,LONG,2020-08-28 11:45:00,2020-08-28 12:30:00,1962.15,1953.67,1953.67,1979.1,41.75570555817757,invalidated,3,-8.48,-1.0,8.48
81bf0581-8c4,LONG,2020-08-28 15:30:00,2020-08-28 18:00:00,1968.76,1961.31,1957.76,1990.77,41.29693740794849,regime_shifted,10,-7.45,-0.677,11.0
462feb81-440,LONG,2020-08-28 19:00:00,2020-08-31 00:45:00,1965.06,1972.76,1955.25,1984.68,47.071284355599815,time_expired,215,7.7,0.785,9.81
8ee38575-f88,LONG,2020-08-31 01:45:00,2020-08-31 05:15:00,1971.86,1967.91,1963.87,1987.83,39.38618744619465,score_decayed,14,-3.95,-0.494,7.99
e1cb3e3f-c76,LONG,2020-09-01 08:00:00,2020-09-01 13:30:00,1988.56,1981.56,1981.56,2002.56,52.70707917538754,invalidated,22,-7.0,-1.0,7.0
92b5d461-a36,SHORT,2020-09-01 18:30:00,2020-09-01 22:15:00,1964.13,1971.53,1973.0,1946.38,51.030487814013874,time_expired,15,-7.4,-0.834,8.87
763e3c9f-812,SHORT,2020-09-01 23:15:00,2020-09-02 00:15:00,1969.76,1970.72,1975.63,1958.01,45.580735284864474,score_decayed,4,-0.96,-0.164,5.87
0ae2ed8c-9f3,SHORT,2020-09-02 15:00:00,2020-09-02 15:15:00,1939.88,1938.78,1951.51,1916.62,47.75291729318926,regime_shifted,1,1.1,0.095,11.63
e6c09664-7e9,SHORT,2020-09-02 18:30:00,2020-09-02 22:15:00,1940.2,1940.45,1950.53,1919.53,41.26589414422124,time_expired,15,-0.25,-0.024,10.33
9fd5b28d-241,SHORT,2020-09-02 23:15:00,2020-09-03 02:00:00,1943.39,1949.55,1949.55,1931.07,47.01174932449867,invalidated,11,-6.16,-1.0,6.16
4d6a2a06-4d4,SHORT,2020-09-03 10:00:00,2020-09-03 12:45:00,1932.26,1934.12,1939.98,1916.82,36.30544947333928,time_expired,11,-1.86,-0.241,7.72
7833ef75-742,LONG,2020-09-10 13:30:00,2020-09-10 14:45:00,1961.21,1954.0,1954.0,1975.63,42.142857142857146,invalidated,5,-7.21,-1.0,7.21
9e92486e-1ae,LONG,2020-09-10 16:00:00,2020-09-10 18:15:00,1957.77,1949.91,1949.91,1973.49,39.16620210177604,invalidated,9,-7.86,-1.0,7.86
